,Address,Latitude,Longitude,유형
65,서울특별시 중랑구 망우동 534-23,37.595165616339685,127.09791889642545,보도 중앙
66,서울특별시 강남구 대치동 890-59,37.504163042943745,127.05209314763295,보도와 차도가 구분된 도로의 차도
67,서울특별시 용산구 동빙고동 310-8,37.52821556635021,126.99297055670499,보도와 차도가 구분된 도로의 차도
68,서울특별시 강서구 가양동 1484-6,37.559235278956066,126.86453964525353,자전거 도로
69,서울특별시 강서구 가양동 1490,37.55868609630366,126.86351746176993,자전거 도로
70,서울특별시 강남구 대치동 1011-12,37.50469575146339,127.05501495120265,보도와 차도가 구분된 도로의 차도
71,서울특별시 강서구 가양동 1484-6,37.559235278956066,126.86453964525353,자전거 도로
72,서울특별시 강남구 대치동 1011-12,37.50469575146339,127.05501495120265,보도와 차도가 구분된 도로의 차도
73,서울특별시 용산구 동빙고동 6-2,37.52664742774544,126.9951518031316,보도와 차도가 구분된 도로의 차도
74,서울특별시 강남구 대치동 1011-12,37.50469575146339,127.05501495120265,보도와 차도가 구분된 도로의 차도
75,서울특별시 광진구 능동 282-1,37.55511181752296,127.0786825618982,보도 중앙
76,서울특별시 송파구 가락동 78-3,37.494984830521105,127.1213476502644,"점자블록, 엘리베이터 입구"
77,서울특별시 강서구 가양동 451-1,37.560860088105194,126.85569539840284,자전거 도로
78,서울특별시 용산구 도원동 19,37.53811657634301,126.95654827242568,"횡단보도, 산책로 등"
79,서울특별시 동대문구 장안동 336,37.56931663827411,127.07440331241921,보도와 차도가 구분된 도로의 차도
80,서울특별시 용산구 동빙고동 319,37.5255875425353,126.99605350757584,보도와 차도가 구분된 도로의 차도
81,서울특별시 강남구 대치동 892,37.50591388022403,127.05609391217399,"횡단보도, 산책로 등"
82,서울특별시 동대문구 장안동 476-7,37.57322343483138,127.07264189132925,보도와 차도가 구분된 도로의 차도
83,서울특별시 강남구 대치동 893,37.50474084128024,127.05645551227703,"횡단보도, 산책로 등"
84,서울특별시 용산구 도원동 19,37.53811657634301,126.95654827242568,"횡단보도, 산책로 등"
85,서울특별시 용산구 동빙고동 319,37.5255875425353,126.99605350757584,"횡단보도, 산책로 등"
86,서울특별시 동대문구 장안동 588,37.57424274203079,127.07074930446404,보도와 차도가 구분된 도로의 차도
87,서울특별시 동작구 본동 148-9,37.510663926660115,126.95114371129725,"점자블록, 엘리베이터 입구"
88,서울특별시 강동구 성내동 490,37.52697877912327,127.12614349807933,보도 중앙
89,서울특별시 송파구 거여동 657-10,37.48435980959096,127.14750924331068,보도 중앙
90,서울특별시 용산구 산천동 106-124,37.53580190600835,126.94920737774228,보도 중앙
91,서울특별시 강동구 성내동 548-4,37.52774534216034,127.12685531203093,보도와 차도가 구분된 도로의 차도
92,서울특별시 성동구 성수동2가 333-140,37.5417562359208,127.05347379607878,보도 중앙
93,서울특별시 동작구 신대방동 722,37.493086996058175,126.91975687342007,보도와 차도가 구분된 도로의 차도
94,서울특별시 송파구 거여동 657-12,37.486804950881336,127.15292103727967,"횡단보도, 산책로 등"
95,서울특별시 강남구 대치동 943-29,37.50644898529603,127.05950142347585,보도 중앙
96,서울특별시 성동구 성수동2가 333-140,37.5417562359208,127.05347379607878,보도와 차도가 구분된 도로의 차도
97,서울특별시 중랑구 망우동 534-14,37.59120825832949,127.09777870016578,보도와 차도가 구분된 도로의 차도
98,서울특별시 동작구 신대방동 722,37.493086996058175,126.91975687342007,"버스정류장, 택시 승강장"
99,서울특별시 성동구 성수동2가 333-140,37.5417562359208,127.05347379607878,"횡단보도, 산책로 등"
100,서울특별시 송파구 거여동 657-12,37.486804950881336,127.15292103727967,"버스정류장, 택시 승강장"
101,서울특별시 성동구 성수동2가 333-140,37.5417562359208,127.05347379607878,보도 중앙
102,서울특별시 광진구 군자동 55-1,37.55561198564514,127.07565697054991,보도와 차도가 구분된 도로의 차도
103,서울특별시 용산구 청암동 176,37.53507092422946,126.94855472471572,보도 중앙
104,서울특별시 성동구 성수동2가 333-140,37.5417562359208,127.05347379607878,보도와 차도가 구분된 도로의 차도
105,서울특별시 강동구 성내동 450-2,37.52449486208057,127.12950177940772,"횡단보도, 산책로 등"
106,서울특별시 성동구 성수동2가 333-140,37.5417562359208,127.05347379607878,보도 중앙
107,서울특별시 성동구 성수동2가 333-140,37.5417562359208,127.05347379607878,"횡단보도, 산책로 등"
108,서울특별시 송파구 문정동 117,37.4871136329631,127.13327931176377,"횡단보도, 산책로 등"
109,서울특별시 송파구 방이동 184-1,37.51176312104321,127.1268310464911,"버스정류장, 택시 승강장"
110,서울특별시 도봉구 방학동 705-31,37.666340267388115,127.04421683039538,보도 중앙
111,서울특별시 동작구 신대방동 470-8,37.49561719139013,126.91515483261688,"횡단보도, 산책로 등"
112,서울특별시 성동구 성수동2가 276-5,37.543080005777284,127.06064050990886,"버스정류장, 택시 승강장"
113,서울특별시 도봉구 방학동 716-24,37.666381115554834,127.04514487361116,"횡단보도, 산책로 등"
114,서울특별시 광진구 중곡동 272-9,37.55869723316509,127.08040081469099,보도와 차도가 구분된 도로의 차도
115,서울특별시 용산구 신창동 56-55,37.53548035774564,126.95325141590101,"횡단보도, 산책로 등"
116,서울특별시 강남구 대치동 1011,37.50723054213345,127.05823034556761,"횡단보도, 산책로 등"
117,서울특별시 강남구 대치동 1011,37.50723054213345,127.05823034556761,"횡단보도, 산책로 등"
118,서울특별시 도봉구 방학동 726-10,37.669179163441456,127.03604877529241,"횡단보도, 산책로 등"
119,서울특별시 광진구 중곡동 166-41,37.56437610974191,127.08321711748556,"횡단보도, 산책로 등"
120,서울특별시 송파구 오금동 165-1,37.499501496809046,127.13235459553216,"버스정류장, 택시 승강장"
121,서울특별시 도봉구 방학동 272,37.66092346196489,127.0294685980062,"버스정류장, 택시 승강장"
122,서울특별시 중구 필동2가 84-101,37.55651092526143,126.9936392833909,"버스정류장, 택시 승강장"
123,서울특별시 도봉구 방학동 272,37.66092346196489,127.0294685980062,오신고
124,서울특별시 용산구 한남동 726-236,37.543568715823625,127.00232508633223,"버스정류장, 택시 승강장"
125,서울특별시 광진구 중곡동 30-80,37.565011422435745,127.08459674280718,보도와 차도가 구분된 도로의 차도
126,서울특별시 광진구 중곡동 30-81,37.565139489375014,127.08404175461229,"점자블록, 엘리베이터 입구"
127,서울특별시 성동구 성수동1가 694-3,37.54392105441998,127.04949627946361,"점자블록, 엘리베이터 입구"
128,서울특별시 광진구 중곡동 30-81,37.565139489375014,127.08404175461229,보도와 차도가 구분된 도로의 차도
129,서울특별시 성동구 성수동1가 694-3,37.54392105441998,127.04949627946361,"점자블록, 엘리베이터 입구"
130,서울특별시 성동구 성수동1가 694-3,37.54392105441998,127.04949627946361,보도와 차도가 구분된 도로의 차도
131,서울특별시 강동구 강일동 117-5,37.572984973407145,127.17091634853264,보도와 차도가 구분된 도로의 차도
132,서울특별시 광진구 중곡동 29-56,37.56803590730705,127.085755151629,"점자블록, 엘리베이터 입구"
133,서울특별시 성동구 성수동1가 694-3,37.54392105441998,127.04949627946361,"횡단보도, 산책로 등"
134,서울특별시 성동구 성수동1가 694-3,37.54392105441998,127.04949627946361,보도와 차도가 구분된 도로의 차도
135,서울특별시 성동구 성수동1가 694-3,37.54392105441998,127.04949627946361,"횡단보도, 산책로 등"
136,서울특별시 강남구 대치동 948,37.50619353059817,127.06372803515671,"횡단보도, 산책로 등"
137,서울특별시 강남구 대치동 1012-29,37.506103310440345,127.06282973237538,"횡단보도, 산책로 등"
138,서울특별시 강남구 대치동 949-2,37.50517526694211,127.0642418483475,"횡단보도, 산책로 등"
139,서울특별시 강남구 대치동 949-7,37.5049972816702,127.06402665503585,"횡단보도, 산책로 등"
140,서울특별시 광진구 자양동 227-341,37.53757637519412,127.0739576610357,"횡단보도, 산책로 등"
141,서울특별시 강남구 대치동 1012-22,37.50750388319821,127.06553764695524,보도 중앙
142,서울특별시 송파구 가락동 79-7,37.49473765672406,127.12131265516535,보도와 차도가 구분된 도로의 차도
143,서울특별시 강북구 우이동 2,37.66371440526814,127.01238223687466,"점자블록, 엘리베이터 입구"
144,서울특별시 광진구 자양동 747,37.52953500071049,127.07509818848794,"횡단보도, 산책로 등"
145,서울특별시 도봉구 방학동 726-2,37.670298430960536,127.03843064578251,보도 중앙
146,서울특별시 도봉구 방학동 726-2,37.670298430960536,127.03843064578251,보도와 차도가 구분된 도로의 차도
147,서울특별시 송파구 송파동 63,37.51093154889654,127.1105068447874,보도와 차도가 구분된 도로의 차도
148,서울특별시 송파구 거여동 21,37.49436225475235,127.14235081401728,기타
149,서울특별시 송파구 거여동 42-3,37.49424973959508,127.14528711963605,보도 중앙
150,서울특별시 송파구 거여동 42-3,37.49424973959508,127.14528711963605,보도 중앙
151,서울특별시 송파구 거여동 696-1,37.49418314673271,127.15132694429215,보도 중앙
152,서울특별시 용산구 후암동 62-1,37.55027290040156,126.97712157119079,보도 중앙
153,서울특별시 송파구 장지동 839,37.4826209162097,127.13109172004425,보도 중앙
154,서울특별시 서초구 서초동 1327,37.49561092590401,127.0271023702847,"횡단보도, 산책로 등"
155,서울특별시 서초구 서초동 1327-3,37.495908875691995,127.02760795185628,보도와 차도가 구분된 도로의 차도
156,서울특별시 용산구 효창동 255,37.54502296366482,126.95975251235967,보도와 차도가 구분된 도로의 차도
157,서울특별시 용산구 원효로2가 90-4,37.53564317614929,126.96119220491585,보도 중앙
158,서울특별시 관악구 신림동 513,37.48465872940832,126.91575623358584,보도와 차도가 구분된 도로의 차도
159,서울특별시 송파구 문정동 651,37.48479639750295,127.12151641398198,보도 중앙
160,서울특별시 송파구 방이동 192-5,37.51275839618391,127.1237556598487,"버스정류장, 택시 승강장"
161,서울특별시 서초구 서초동 1398,37.4949312191296,127.02711430500793,보도 중앙
162,서울특별시 서초구 서초동 1330-4,37.49351575318386,127.02809273759487,보도 중앙
163,서울특별시 강동구 강일동 693,37.56220876557537,127.17983697965222,보도와 차도가 구분된 도로의 차도
164,서울특별시 송파구 문정동 619,37.480066782389756,127.1225459539899,보도와 차도가 구분된 도로의 차도
165,서울특별시 용산구 용문동 27-5,37.53738745724666,126.95988840165724,"횡단보도, 산책로 등"
166,서울특별시 서초구 서초동 1398,37.4949312191296,127.02711430500793,보도 중앙
167,서울특별시 성동구 성수동2가 281-17,37.54736353942037,127.06580919976636,보도 중앙
168,서울특별시 성동구 성수동2가 279-15,37.54539641785489,127.06478158158943,보도와 차도가 구분된 도로의 차도
169,서울특별시 성동구 성수동2가 289-30,37.546547298988784,127.05772254920214,보도와 차도가 구분된 도로의 차도
170,서울특별시 용산구 용문동 41-52,37.537202455808085,126.95953331592624,보도와 차도가 구분된 도로의 차도
171,서울특별시 성동구 성수동2가 284-1,37.55047046638177,127.0526268643456,보도와 차도가 구분된 도로의 차도
172,서울특별시 관악구 신림동 1642-9,37.48144300946898,126.92997944855506,보도 중앙
173,서울특별시 관악구 신림동 1640-14,37.48352032785669,126.92950642437938,보도와 차도가 구분된 도로의 차도
174,서울특별시 동작구 상도동 461-9,37.4974388943663,126.9502261608998,보도와 차도가 구분된 도로의 차도
175,서울특별시 용산구 용문동 41-52,37.537202455808085,126.95953331592624,보도와 차도가 구분된 도로의 차도
176,서울특별시 동작구 신대방동 431-3,37.49044045948423,126.92297412351714,보도와 차도가 구분된 도로의 차도
177,서울특별시 관악구 신림동 460,37.48780388728527,126.92195638653217,보도 중앙
178,서울특별시 용산구 한강로3가 29-2,37.53083542079462,126.95478256467268,"횡단보도, 산책로 등"
179,서울특별시 성동구 성수동1가 660-7,37.54566398423391,127.04512460235902,보도와 차도가 구분된 도로의 차도
180,서울특별시 성동구 성수동1가 656-1704,37.542041394247406,127.04617925295972,보도와 차도가 구분된 도로의 차도
181,서울특별시 성동구 성수동1가 656-1206,37.542419928384255,127.04664624018028,"횡단보도, 산책로 등"
182,서울특별시 종로구 홍지동 72-7,37.600057002797946,126.95771567162359,보도와 차도가 구분된 도로의 차도
183,서울특별시 성동구 성수동2가 845,37.54102715931535,127.05338110838656,보도와 차도가 구분된 도로의 차도
184,서울특별시 성동구 성수동2가 816-90,37.541843297319744,127.0538610222064,보도와 차도가 구분된 도로의 차도
185,서울특별시 송파구 장지동 839,37.4826209162097,127.13109172004425,"횡단보도, 산책로 등"
186,서울특별시 성동구 성수동2가 333-115,37.53948202114826,127.05244171575436,"횡단보도, 산책로 등"
187,서울특별시 성동구 성수동2가 308-4,37.5426118939817,127.05194205727517,"버스정류장, 택시 승강장"
188,서울특별시 성북구 석관동 261-80,37.606426536806765,127.05879377237329,"버스정류장, 택시 승강장"
189,서울특별시 성북구 석관동 261-80,37.606426536806765,127.05879377237329,"횡단보도, 산책로 등"
190,서울특별시 성동구 성수동2가 315-61,37.54359235881845,127.05566122083565,보도와 차도가 구분된 도로의 차도
191,서울특별시 성동구 성수동2가 315-61,37.54359235881845,127.05566122083565,보도와 차도가 구분된 도로의 차도
192,서울특별시 성동구 성수동2가 302-25,37.54479827072286,127.05250014910723,보도와 차도가 구분된 도로의 차도
193,서울특별시 성동구 성수동2가 302-25,37.54479827072286,127.05250014910723,보도와 차도가 구분된 도로의 차도
194,서울특별시 동작구 신대방동 395-69,37.491331614499316,126.92410691113014,"건물, 상가 보행자 진출입"
195,서울특별시 동작구 신대방동 395-66,37.49145583325896,126.92337166739478,"건물, 상가 보행자 진출입"
196,서울특별시 마포구 서교동 415,37.54953352326889,126.91883284275278,"횡단보도, 산책로 등"
197,서울특별시 서초구 서초동 1317-20,37.497934189389426,127.02653309175874,보도와 차도가 구분된 도로의 차도
198,서울특별시 동대문구 청량리동 212,37.586130952953894,127.04619192490162,보도와 차도가 구분된 도로의 차도
199,서울특별시 서초구 서초동 1391,37.50048822513198,127.02539342989738,보도와 차도가 구분된 도로의 차도
200,서울특별시 서초구 서초동 1390,37.50239703450194,127.0243919277296,"버스정류장, 택시 승강장"
201,서울특별시 서초구 서초동 1373,37.50107923731139,127.02595650485827,보도와 차도가 구분된 도로의 차도
202,서울특별시 서초구 서초동 1373,37.50107923731139,127.02595650485827,보도와 차도가 구분된 도로의 차도
203,서울특별시 관악구 봉천동 975-21,37.48467324631964,126.94034987308557,보도와 차도가 구분된 도로의 차도
204,서울특별시 송파구 방이동 192,37.512420749568946,127.12453573156012,"버스정류장, 택시 승강장"
205,서울특별시 관악구 봉천동 976-3,37.48228513565442,126.95146274529617,"버스정류장, 택시 승강장"
206,서울특별시 송파구 가락동 79-7,37.49473765672406,127.12131265516535,보도와 차도가 구분된 도로의 차도
207,서울특별시 관악구 봉천동 976-15,37.48503011965114,126.93792572080866,보도 중앙
208,서울특별시 강남구 논현동 105-13,37.52079672410235,127.03754097116285,자전거 도로
209,서울특별시 강남구 논현동 105-4,37.520678193761654,127.03713363209343,"점자블록, 엘리베이터 입구"
210,서울특별시 강남구 논현동 279-134,37.51263229470297,127.03737416766282,보도와 차도가 구분된 도로의 차도
211,서울특별시 강서구 가양동 1484-5,37.560511112508664,126.86220613759323,보도와 차도가 구분된 도로의 차도
212,서울특별시 강서구 가양동 1484-5,37.560511112508664,126.86220613759323,보도와 차도가 구분된 도로의 차도
213,서울특별시 강서구 가양동 1484-4,37.561759305161296,126.85990893662874,보도와 차도가 구분된 도로의 차도
214,서울특별시 용산구 한강로3가 40-2,37.52478558080152,126.96148814990468,자전거 도로
215,서울특별시 영등포구 신길동 1190,37.502032939018726,126.92081649535808,자전거 도로
216,서울특별시 관악구 신림동 1640-7,37.48392857317899,126.92908293869657,자전거 도로
217,서울특별시 동작구 흑석동 97-2,37.50736356137702,126.9623607597998,보도와 차도가 구분된 도로의 차도
218,서울특별시 중구 신당동 842-4,37.554682364844496,127.01192386059958,보도와 차도가 구분된 도로의 차도
219,서울특별시 강서구 화곡동 1095,37.55489523238592,126.85128825699024,보도와 차도가 구분된 도로의 차도
220,서울특별시 강북구 수유동 254-53,37.64563962910073,127.0189111817449,"버스정류장, 택시 승강장"
221,서울특별시 중구 신당동 62-55,37.56137529738025,127.0200680033918,"버스정류장, 택시 승강장"
222,서울특별시 강남구 역삼동 802-39,37.50478077364018,127.0467145217217,보도와 차도가 구분된 도로의 차도
223,서울특별시 중구 신당동 282-11,37.56240383017894,127.01697836957271,보도와 차도가 구분된 도로의 차도
224,서울특별시 중구 흥인동 160,37.56600592833597,127.0140601016526,"버스정류장, 택시 승강장"
225,서울특별시 중구 신당동 204-25,37.56815168766058,127.01104613831848,보도와 차도가 구분된 도로의 차도
226,서울특별시 중구 신당동 373-26,37.553366504448796,127.01182392369842,보도와 차도가 구분된 도로의 차도
227,서울특별시 동작구 대방동 466-51,37.499273095382975,126.92033649646488,보도와 차도가 구분된 도로의 차도
228,서울특별시 송파구 오금동 31-5,37.5061676260318,127.13155897222234,오신고
229,서울특별시 영등포구 대림동 918-74,37.49387009056822,126.90833089267286,보도와 차도가 구분된 도로의 차도
230,서울특별시 성북구 돈암동 42-19,37.598734606336855,127.01975356351019,"버스정류장, 택시 승강장"
231,서울특별시 마포구 신수동 91-27,37.549051200001145,126.9356783126472,"횡단보도, 산책로 등"
232,서울특별시 영등포구 신길동 21-2,37.51732217425277,126.91706319662316,"횡단보도, 산책로 등"
233,서울특별시 영등포구 신길동 41-1,37.51629501588426,126.9171391619721,보도와 차도가 구분된 도로의 차도
234,서울특별시 관악구 봉천동 100-403,37.482348432253005,126.95969983528929,보도와 차도가 구분된 도로의 차도
235,서울특별시 마포구 동교동 190-1,37.55941140280459,126.92487934000891,보도와 차도가 구분된 도로의 차도
236,서울특별시 종로구 행촌동 171-299,37.573553857888854,126.9634858593057,"점자블록, 엘리베이터 입구"
237,서울특별시 영등포구 영등포동 585-2,37.51603303229199,126.91249930334138,보도 중앙
238,서울특별시 종로구 서린동 148,37.56956669266452,126.97929739062894,보도와 차도가 구분된 도로의 차도
239,서울특별시 강동구 성내동 450-39,37.52853650342847,127.13638046487965,보도와 차도가 구분된 도로의 차도
240,서울특별시 마포구 창전동 389-20,37.54759208495548,126.9279499444857,"건물, 상가 보행자 진출입"
241,서울특별시 성북구 안암동5가 126-40,37.593067657858484,127.0242472318897,보도와 차도가 구분된 도로의 차도
